IPAddress,Finished,F_SEX,AGE,F_AGECAT,RACE,DATAUSEa_W49,DATAUSEc_W49,DATAUSEd_W49,DATAUSEe_W49
174.195.156.47,TRUE,Female,16,<18,"Hispanic or Latino,White",Unacceptable,Unacceptable,Unsure,Unsure
173.27.147.26,TRUE,Female,19,18-29,Asian or Asian American,Unsure,Acceptable,Acceptable,Acceptable
35.143.242.41,TRUE,Male,19,18-29,White,Unsure,Unsure,Unsure,Unsure
72.186.196.242,TRUE,Male,19,18-29,"Hispanic or Latino,White",Unsure,Acceptable,Acceptable,Unsure
75.137.211.223,TRUE,Male,19,18-29,White,Unsure,Acceptable,Acceptable,Unsure
74.71.7.161,TRUE,Female,19,18-29,Asian or Asian American,Unacceptable,Unacceptable,Unacceptable,Unsure
98.233.172.196,TRUE,Male,19,18-29,White,Unacceptable,Unacceptable,Acceptable,Acceptable
174.223.10.112,TRUE,Female,19,18-29,White,Unacceptable,Unsure,Acceptable,Acceptable
71.58.53.169,TRUE,Male,19,18-29,Asian or Asian American,Unacceptable,Unsure,Unsure,Unsure
97.83.40.88,TRUE,Male,19,18-29,White,Unacceptable,Acceptable,Acceptable,Unsure
99.203.101.127,TRUE,Female,19,18-29,American Indian or Alaska Native,Acceptable,Acceptable,Acceptable,Acceptable
172.75.9.212,TRUE,Female,19,18-29,Black or African American,Acceptable,Acceptable,Acceptable,Acceptable
73.198.21.215,TRUE,Male,19,18-29,Asian or Asian American,Acceptable,Acceptable,Acceptable,Acceptable
172.58.227.56,TRUE,Male,19,18-29,Black or African American,Acceptable,Acceptable,Acceptable,Acceptable
98.181.174.14,TRUE,Male,20,18-29,Hispanic or Latino,Unacceptable,Unsure,Acceptable,Unacceptable
68.99.95.71,TRUE,Female,20,18-29,White,Unsure,Unsure,Unsure,Unsure
173.26.48.131,TRUE,Female,20,18-29,White,Unsure,Acceptable,Acceptable,Unsure
173.185.197.250,TRUE,Female,20,18-29,Black or African American,Unsure,Acceptable,Unacceptable,Acceptable
108.93.21.72,TRUE,Male,20,18-29,Black or African American,Unsure,Unacceptable,Unacceptable,Unsure
24.10.64.35,TRUE,Male,20,18-29,"Hispanic or Latino,White",Unsure,Acceptable,Unacceptable,Unacceptable
172.56.12.197,TRUE,Male,20,18-29,White,Unsure,Unacceptable,Unsure,Unacceptable
