IP.Address,Finished,F_SEX,AGE,F_AGECAT,RACE,DATAUSEa_W49,DATAUSEc_W49,DATAUSEd_W49,DATAUSEe_W49
160.3.64.200,TRUE,Female,19,18-29,White,Unsure,Unsure,Unsure,Acceptable
71.224.196.95,TRUE,Male,19,18-29,White,Unsure,Acceptable,Unsure,Unacceptable
97.125.229.150,TRUE,Female,19,18-29,Asian or Asian American,Unacceptable,Unacceptable,Unacceptable,Unacceptable
73.138.45.123,TRUE,Male,19,18-29,"Hispanic or Latino,White",Acceptable,Acceptable,Acceptable,Acceptable
98.223.41.122,TRUE,Female,19,18-29,Black or African American,Acceptable,Acceptable,Acceptable,Acceptable
172.112.69.204,TRUE,Female,20,18-29,Hispanic or Latino,Unsure,Unsure,Unsure,Unsure
67.167.35.193,TRUE,Female,20,18-29,Asian or Asian American,Unsure,Unacceptable,Unsure,Unsure
74.88.208.226,TRUE,Female,20,18-29,Black or African American,Unsure,Unsure,Unsure,Acceptable
73.82.139.141,TRUE,Female,20,18-29,Asian or Asian American,Unsure,Unsure,Acceptable,Acceptable
107.77.231.48,TRUE,Female,20,18-29,Hispanic or Latino,Unsure,Unsure,Unsure,Unsure
65.78.24.247,TRUE,Female,20,18-29,White,Unsure,Acceptable,Acceptable,Unacceptable
97.104.79.133,TRUE,Female,20,18-29,"Hispanic or Latino,White",Unsure,Unacceptable,Unacceptable,Acceptable
24.143.70.108,TRUE,Female,20,18-29,American Indian or Alaska Native,Unsure,Unsure,Acceptable,Unsure
173.77.3.74,TRUE,Female,20,18-29,Asian or Asian American,Unsure,Unacceptable,Acceptable,Unacceptable
98.113.97.25,TRUE,Male,20,18-29,"Hispanic or Latino,White,Native Hawaiian or Pacific Islander",Unsure,Acceptable,Acceptable,Unsure
70.44.216.36,TRUE,Male,20,18-29,White,Unsure,Unacceptable,Unsure,Unsure
72.78.232.5,TRUE,Male,20,18-29,White,Unacceptable,Unacceptable,Acceptable,Unsure
47.146.124.42,TRUE,Female,20,18-29,White,Unacceptable,Unsure,Unacceptable,Unacceptable
72.220.10.199,TRUE,Non-binary,20,18-29,Asian or Asian American,Unacceptable,Unacceptable,Unacceptable,Unsure
174.193.20.237,TRUE,Female,20,18-29,White,Unacceptable,Unacceptable,Acceptable,Acceptable
73.148.207.6,TRUE,Female,20,18-29,"White,Black or African American",Unacceptable,Acceptable,Acceptable,Unacceptable
68.8.14.90,TRUE,Male,20,18-29,Hispanic or Latino,Unacceptable,Unacceptable,Acceptable,Acceptable
108.44.195.252,TRUE,Female,20,18-29,White,Acceptable,Acceptable,Acceptable,Acceptable
173.73.173.115,TRUE,Female,20,18-29,White,Acceptable,Unsure,Unacceptable,Unacceptable
67.191.15.242,TRUE,Female,20,18-29,Black or African American,Acceptable,Unacceptable,Unacceptable,Acceptable
68.190.236.61,TRUE,Female,20,18-29,"White,Black or African American",Acceptable,Unsure,Unacceptable,Acceptable
68.8.81.174,TRUE,Female,20,18-29,Hispanic or Latino,Acceptable,Acceptable,Acceptable,Acceptable
98.166.80.48,TRUE,Female,20,18-29,Asian or Asian American,Acceptable,Acceptable,Acceptable,Acceptable
71.75.61.188,TRUE,Female,20,18-29,White,Acceptable,Acceptable,Unacceptable,Acceptable
166.181.253.191,TRUE,Female,20,18-29,"Hispanic or Latino,White",Acceptable,Acceptable,Acceptable,Unsure
97.99.146.203,TRUE,Female,20,18-29,Hispanic or Latino,Acceptable,Acceptable,Unsure,Acceptable
73.83.233.112,TRUE,Female,20,18-29,"Hispanic or Latino,White",Acceptable,Acceptable,Acceptable,Unsure
172.101.50.128,TRUE,Male,20,18-29,White,Acceptable,Unacceptable,Acceptable,Unacceptable
68.35.40.199,FALSE,Female,20,18-29,Black or African American,Acceptable,Acceptable,Unacceptable,Acceptable
73.179.251.122,TRUE,Male,21,18-29,Black or African American,Unsure,Unacceptable,Unsure,Unsure
99.203.90.232,TRUE,Male,21,18-29,Black or African American,Unsure,Acceptable,Unacceptable,Unsure
174.48.88.72,TRUE,Female,21,18-29,"Hispanic or Latino,White,Black or African American",Unsure,Unsure,Acceptable,Unsure
172.58.45.235,TRUE,Female,21,18-29,Hispanic or Latino,Unsure,Unsure,Unsure,Unsure
73.82.176.166,TRUE,Female,21,18-29,Black or African American,Unsure,Unsure,Unsure,Unsure
100.16.57.140,TRUE,Female,21,18-29,White,Unsure,Unacceptable,Acceptable,Unsure
207.181.255.60,TRUE,Male,21,18-29,White,Unsure,Unsure,Acceptable,Acceptable
73.137.41.18,TRUE,Female,21,18-29,"Hispanic or Latino,White",Unsure,Acceptable,Acceptable,Acceptable
24.194.29.54,TRUE,Female,21,18-29,Hispanic or Latino,Unsure,Unsure,Unsure,Unsure
174.69.209.4,TRUE,Female,21,18-29,Black or African American,Unsure,Unsure,Acceptable,Acceptable
98.238.155.88,TRUE,Male,21,18-29,"White,Black or African American",Unacceptable,Unacceptable,Acceptable,Unacceptable
68.60.37.77,TRUE,Female,21,18-29,Black or African American,Unacceptable,Unsure,Unsure,Acceptable
174.255.129.68,TRUE,Female,21,18-29,Hispanic or Latino,Unacceptable,Acceptable,Acceptable,Acceptable
173.95.14.201,TRUE,Male,21,18-29,Black or African American,Unacceptable,Acceptable,Acceptable,Unsure
73.158.248.3,TRUE,Female,21,18-29,Asian or Asian American,Unacceptable,Unacceptable,Acceptable,Acceptable
47.203.249.153,TRUE,Female,21,18-29,Hispanic or Latino,Unacceptable,Acceptable,Unacceptable,Acceptable
76.218.107.160,TRUE,Female,21,18-29,Hispanic or Latino,Unacceptable,Acceptable,Acceptable,Acceptable
174.106.186.145,TRUE,Non-binary,21,18-29,White,Unacceptable,Unacceptable,Acceptable,Unacceptable
207.172.226.171,TRUE,Female,21,18-29,Asian or Asian American,Unacceptable,Acceptable,Unacceptable,Acceptable
173.174.31.26,TRUE,Female,21,18-29,Black or African American,Unacceptable,Unacceptable,Unsure,Unsure
73.136.52.20,TRUE,Female,21,18-29,White,Unacceptable,Unacceptable,Unsure,Unsure
47.44.54.218,TRUE,Male,21,18-29,White,Unacceptable,Acceptable,Acceptable,Acceptable
71.233.12.100,TRUE,Female,21,18-29,"Hispanic or Latino,Black or African American",Acceptable,Acceptable,Unsure,Acceptable
69.108.47.123,TRUE,Female,21,18-29,Asian or Asian American,Acceptable,Acceptable,Unacceptable,Acceptable
72.79.4.127,TRUE,Female,21,18-29,Hispanic or Latino,Acceptable,Unsure,Unacceptable,Acceptable
76.218.16.16,TRUE,Female,21,18-29,Black or African American,Acceptable,Acceptable,Acceptable,Acceptable
136.228.204.73,TRUE,Female,21,18-29,Hispanic or Latino,Acceptable,Unsure,Unsure,Acceptable
75.136.79.246,TRUE,Male,21,18-29,Black or African American,Acceptable,Unacceptable,Unsure,Unacceptable
75.177.19.144,TRUE,Male,21,18-29,Asian or Asian American,Acceptable,Acceptable,Unacceptable,Acceptable
